"State","Category","Reading_Score","Reading_Rank","Math_Score","Math_Rank"
"NY","Difference",-0.418995477429204,20,-0.11161626309034,23
"OH","2009",0.839637730394514,40,0.342320253927563,28
"OH","2019",0.984761748406017,42,0.766160993068808,38
"OH","Difference",-0.146018789460378,24,0.518173137588648,34
"OK","2009",-0.699090651763332,13,-0.962367428517794,10
"OK","2019",-0.941410049584849,10,-0.814981237010318,13
"OK","Difference",-0.0465060627860332,27,0.689199135116679,40
"OR","2009",0.23822196233563,26,0.270127412774323,27
"OR","2019",0.260726093738681,30,-0.296170898285435,18
"OR","Difference",-0.0672596944595422,26,-1.03476834714998,9
"PA","2009",1.17851976011764,45,0.701983622193297,38
"PA","2019",0.360580592101995,33,0.648307074538325,35
"PA","Difference",-1.61842392088517,3,-0.41644743133228,17
"RI","2009",-0.633767760396449,15,-0.670032032416451,14
"RI","2019",-0.0821046025342842,18,-0.950777150431816,11
"RI","Difference",1.02501730181047,44,-0.134578428834392,22
"SC","2009",-1.07136740378894,9,-0.345264873009846,18
"SC","2019",-0.77181650811539,13,-0.83485512607817,12
"SC","Difference",0.856956427918922,39,-0.622165617546566,13
"SD","2009",1.0713493684019,43,1.00795878016208,43
"SD","2019",0.0538294554560191,24,1.00122197658993,45
"SD","Difference",-1.85028570792257,1,-0.48523614737602,16
"TN","2009",-0.455958867156573,18,-1.08794976539287,9
"TN","2019",-0.0132222511708225,21,-0.197230789857782,21
"TN","Difference",0.800871364555231,36,1.93966901044566,49
"TX","2009",-0.55279585022938,17,0.487983266183935,33
"TX","2019",-1.47555869621586,5,-0.270402154599443,19
"TX","Difference",-1.04835025590839,8,-1.4451746269596,6
"UT","2009",0.322398713637098,28,0.142109555076123,23
"UT","2019",1.06503652031747,45,0.632301991792809,33
"UT","Difference",0.894303626652626,41,0.718754489218965,41
"VA","2009",0.330845138761961,29,0.40665432212898,30
"VA","2019",-0.157837094434988,17,0.996478349773329,44
"VA","Difference",-0.812761961369161,11,0.753917379214659,42
"VT","2009",1.44740614430785,48,1.30494747417357,48
"VT","2019",1.29637614786429,47,0.918372861485189,43
"VT","Difference",-0.806790979538943,12,-1.2338027102255,8
"WA","2009",0.544606534949329,35,0.757259274332856,42
"WA","2019",0.816772239422447,40,0.782211899356668,39
"WA","Difference",0.151607519902939,29,-0.316444218530663,18
"WI","2009",0.359438706347101,31,0.680380904034317,37
"WI","2019",1.0576078017483,44,1.27002846261972,47
"WI","Difference",0.817480550818574,37,0.624793429065169,38
"WV","2009",-1.4860149729098,7,-1.66238112342242,4
"WV","2019",-1.50129423129068,4,-1.51893668932812,4
"WV","Difference",0.592642922571802,35,1.01237294935114,45
"WY","2009",0.752699883444619,39,0.411185081825489,31
"WY","2019",0.460907673117443,35,0.868877636339634,42
"WY","Difference",-0.714599841653639,14,0.540014164987908,37
