"State","Reading2019","Reading2009","Math2019","Math2009","Reading2019z","Reading2009z","Math2019z","Math2009z","ReadDiffRaw","MathDiffRaw","ReadDiffZ","MathDiffZ","Reading_Rank_2019","Reading_Rank_2009","Reading_Rank_Difference","Math_Rank_2019","Math_Rank_2009","Math_Rank_Difference"
"AL",253.398604872946,254.89524659554,268.703898571044,268.524120315168,-1.98556620017075,-1.47001195122628,-2.14226503390954,-1.9124056877206,-1.49664172259398,0.179778255876045,-0.106115931577506,0.531753824591048,3,8,25,1,2,36
"AK",252.385089216065,259.449426538116,274.337800740009,283.047662800849,-2.20610652677756,-0.706856709505046,-1.17892432579916,0.00721518721672062,-7.06433732205096,-8.70986206084001,-1.78230816963171,-1.90445341143457,2,12,2,7,21,1
"AZ",259.480352131611,257.595275452299,279.932021743214,277.332281962623,-0.662182079106772,-1.01756141110363,-0.222368698646072,-0.748204117411769,1.88507667931202,2.59973978059105,0.911973156682409,1.19494463629671,14,10,42,20,12,47
"AR",258.78275377192,258.048580163614,274.36319198523,275.999499994013,-0.813979013907057,-0.94160001500181,-1.17458267778729,-0.924361972233083,0.73417360830598,-1.63630800878298,0.565486040080484,0.0340551167041296,11,11,34,8,11,24
"CA",258.829734032213,252.631380782334,275.608909198641,270.448588146426,-0.803756140803171,-1.84937356707943,-0.961577540942122,-1.65804290910302,6.19835324987903,5.16032105221501,2.21051410221661,1.89667231032103,12,2,50,10,5,48
"CO",267.307705573783,265.51311994428,284.665952434847,287.372907515934,1.04104477573619,0.309251451668545,0.58708592229935,0.578895963616509,1.79458562950299,-2.70695508108702,0.884730217014861,-0.259355870900405,43,27,40,32,36,19
"CT",269.719107358588,271.810133169712,286.15885457416,288.608513451696,1.56576418543702,1.36445759432661,0.842357199807084,0.742209766004851,-2.09102581112398,-2.44965887753602,-0.285059262407965,-0.188843808481618,48,47,23,41,41,21
"DE",259.679402371344,264.998966063101,276.702658183838,283.829472979958,-0.618868880554945,0.223093409074579,-0.774557445403569,0.110549421377269,-5.31956369175703,-7.12681479611996,-1.25703232363438,-1.47061907574952,15,25,7,14,22,5
"FL",263.352557734343,264.362040854787,278.523344698988,279.33526411278,0.1804072607987,0.116362270332111,-0.463238330490038,-0.483463861970708,-1.00948312044397,-0.811919413791998,0.0405464448111762,0.259978932388489,29,21,28,16,17,30
"GA",262.386099206627,260.244524519648,279.494668007891,277.561199732371,-0.0298934660892755,-0.573620166386612,-0.297151796478636,-0.717947358092502,2.14157468697903,1.93346827552,0.989193608455982,1.01235283235616,20,16,43,17,13,44
"HI",258.159133626579,254.738979931593,275.333259928456,273.758606683625,-0.949678338923249,-1.49619794413853,-1.00871079870313,-1.22054767082344,3.42015369498597,1.57465324483104,1.37411842531725,0.914019520431782,9,6,46,9,7,43
"ID",266.48281590721,264.837184984886,285.94211965174,287.305215052426,0.861549338003705,0.195983352070271,0.805297704030517,0.569948844402718,1.64563092232402,-1.36309540068601,0.839886399759589,0.108929072129263,41,23,38,40,35,25
"IL",264.695664812992,264.514002261585,282.563770056396,282.431416992088,0.472666459541341,0.141826820613285,0.227633840900112,-0.0742358995106834,0.181662551406987,0.132353064308006,0.399148867282543,0.51875694386791,36,22,31,29,19,35
"IN",265.954997612053,265.69124060951,285.649347493642,286.809977886735,0.74669643127979,0.339099573842709,0.755236604345335,0.504491838837962,0.263757002543002,-1.16063039309302,0.423863954399541,0.164414637232783,39,30,32,37,34,27
"IA",262.329032641702,264.888126041644,281.669713374579,284.170178554705,-0.0423111123105751,0.204519671445852,0.0747591243853529,0.155581515588216,-2.55909339994201,-2.50046518012601,-0.42597416072569,-0.202767283177517,19,24,18,26,24,20
"KS",262.819050847892,266.799519310717,282.211700315563,288.596403041255,0.064316520427732,0.52481658783398,0.167433449898189,0.740609096146957,-3.980468462825,-6.38470272569197,-0.853888691110691,-1.26724315372048,25,32,9,27,40,7
